[2023-05-12 13:27:05:0728] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe4140], Port[3956], return[-1]!
[2023-05-12 13:27:05:0881] |           NetUDP.cpp-L0708: sendto errror! [10055], preSend[12], actually send[-1]
[2023-05-12 13:27:05:0881] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe4140], Port[3956], return[-1]!
[2023-05-12 13:27:05:0881] |           NetUDP.cpp-L0708: sendto errror! [10055], preSend[12], actually send[-1]
[2023-05-12 13:27:05:0881] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe4140], Port[3956], return[-1]!
[2023-05-12 13:27:05:0967] |           NetUDP.cpp-L0708: sendto errror! [10055], preSend[12], actually send[-1]
[2023-05-12 13:27:05:0967] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe4140], Port[3956], return[-1]!
[2023-05-12 13:27:05:0967] |           NetUDP.cpp-L0708: sendto errror! [10055], preSend[12], actually send[-1]
[2023-05-12 13:27:05:0967] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe4140], Port[3956], return[-1]!
[2023-05-12 13:27:06:0049] |           NetUDP.cpp-L0708: sendto errror! [10055], preSend[12], actually send[-1]
[2023-05-12 13:27:06:0049] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe4140], Port[3956], return[-1]!
[2023-05-12 13:27:06:0049] |           NetUDP.cpp-L0708: sendto errror! [10055], preSend[12], actually send[-1]
